Area,Unit,School ID,School,Total,Year
11,3890,609981,Hearst,703,2007
11,4120,610006,Hurley,949,2007
11,4330,610026,Kinzie,700,2007
11,7170,610291,Lee,"1,106",2007
11,4620,610053,Marquette,"1,665",2007
11,4760,610067,McKay,"1,413",2007
11,6410,610404,Midway ,273,2007
11,4880,610077,Morrill,"1,044",2007
11,5090,610096,Nightingale,"1,352",2007
11,5310,610117,Pasteur,"1,328",2007
11,5340,610120,Peck,"1,454",2007
11,6430,610226,Sandoval,"1,279",2007
11,5710,610157,Sawyer,"2,005",2007
11,6030,610185,Stevenson,"1,240",2007
11,7160,610396,Tarkington,"1,095",2007
11,6220,610203,Tonti,902,2007
11,6221,,Tonti Br,212,2007
11,6240,610206,Twain,"1,006",2007
12,5750,610161,Bontemps,447,2007
12,2660,609842,Carson,"1,276",2007
12,5640,610148,Chavez,957,2007
12,7830,610347,Claremont,693,2007
12,2900,609869,Copernicus,431,2007
12,6560,610239,Daley,946,2007
12,7180,610292,"Davis, M.",355,2007
12,3130,609897,Earle,487,2007
12,7490,610319,Evergreen,452,2007
12,3450,609929,Fulton,727,2007
12,3290,609913,Goodlow Magnet,545,2007
12,3650,609952,"Greene, N.",622,2007
12,3740,609964,Hamline,407,2007
12,3741,,Hamline Br,290,2007
12,3742,,Hamline Br EC Ctr,166,2007
12,3900,609983,Hedges,858,2007
12,3904,,Hedges Br,136,2007
12,3920,609986,Henderson,572,2007
12,3980,609993,Lara,566,2007
12,4470,610037,Libby,702,2007
12,5230,610108,O'Toole,772,2007
12,3550,609941,Randolph,706,2007
12,5820,610167,Seward,714,2007
12,5821,,Seward Br,234,2007
12,5910,610174,Shields,"1,824",2007
12,6680,610249,Talman,311,2007
12,6710,610504,Velma Thomas EC Ctr,194,2007
13,2100,609781,Attucks,373,2007
13,6661,,Beasley CPC,151,2007
13,6660,610246,Beasley Magnet,"1,296",2007
13,6540,610237,Beethoven,499,2007
13,2460,609819,Burke,226,2007
13,2670,609844,Carter,423,2007
13,5651,,Cockrell CPC,44,2007
13,3030,609885,Dewey,373,2007
13,3031,,Dewey CPC,110,2007
13,3440,609928,Fuller,329,2007
13,3600,609947,"Graham, A.",618,2007
13,3930,609987,Hendricks,325,2007
13,4030,609997,Holmes,560,2007
13,6820,610260,McCorkle,283,2007
13,6950,610276,Mollison,309,2007
13,6960,610277,Overton,378,2007
13,6961,,Overton CPC,68,2007
13,5280,610114,Parkman,275,2007
13,7850,610349,Princeton A C,234,2007
13,5650,610150,Ross,502,2007
13,5890,610172,Sherman,617,2007
13,5900,610173,Sherwood,417,2007
13,7820,610345,Woodson South,459,2007
13,7822,,Woodson South CPC,47,2007
14,2050,609775,Altgeld,693,2007
14,6880,610265,Banneker,432,2007
14,2170,609790,Barton,742,2007
14,2180,609791,Bass,659,2007
14,6550,610238,Bond,579,2007
14,2410,609813,Brownell,332,2007
