Area,Unit,School ID,Schools,Total,year
2,3590,609945,Goudy,717,2008
2,2730,609850,Greeley,431,2008
2,3730,609963,Hamilton,232,2008
2,3850,609976,Hayt,901,2008
2,4890,610078,Inter-American,641,2008
2,4170,610010,Jahn,407,2008
2,4180,610011,Jamieson,808,2008
2,2870,609865,Jordan,659,2008
2,4300,610022,Kilmer,744,2008
2,6910,610269,McCutcheon,330,2008
2,4800,610070,McPherson,681,2008
2,5070,610094,Nettelhorst,467,2008
2,7060,610284,New Field,681,2008
2,5360,610122,Peirce,875,2008
2,5550,610141,Ravenswood,453,2008
2,5630,610147,Rogers,669,2008
2,6040,610187,Stewart,360,2008
2,6060,610189,Stockton,437,2008
2,6061,,Stockton Br,86,2008
2,6070,610191,Stone,596,2008
2,6130,610196,Swift,659,2008
2,6230,610205,Trumbull,469,2008
2,6370,610220,Waters,414,2008
3,5700,610156,"Armstrong, L.",137,2008
3,2550,609830,Brunson,752,2008
3,2450,609818,Burbank,"1,352",2008
3,2230,609795,"Clark, G. R.",364,2008
3,8050,610367,DePriest,750,2008
3,3220,609904,Ellington,525,2008
3,3230,609906,Emmet,544,2008
3,3840,609975,Hay ,735,2008
3,4060,610000,Howe,595,2008
3,4280,610020,Key,450,2008
3,7320,610305,Leland,227,2008
3,4450,610036,Lewis,919,2008
3,4510,610041,"Locke, J","1,285",2008
3,4530,610043,Lovett,566,2008
3,4560,610046,Lyon,"1,271",2008
3,4670,610058,May ,673,2008
3,7040,610282,McNair,581,2008
3,5050,610092,Nash,635,2008
3,5720,610158,Sayre ,534,2008
3,6000,610183,Spencer,878,2008
3,6520,610235,Young,"1,479",2008
4,2090,609780,Ames,780,2008
4,3390,609922,Belmont-Cragin,261,2008
4,3391,,Belmont-Cragin EC,346,2008
4,2610,609835,Cameron,"1,040",2008
4,4290,610021,Casals,535,2008
4,2760,609853,Chase,552,2008
4,2770,609854,Chopin,269,2008
4,2850,609863,Columbus,314,2008
4,2960,609875,Darwin,745,2008
4,7510,610320,Roque De Duprey,231,2008
4,3460,609930,Funston,578,2008
4,3560,609942,Goethe,683,2008
4,4770,610068,Hanson Park,"1,575",2008
4,4400,610031,Lafayette,621,2008
4,4500,610040,Lloyd,"1,252",2008
4,4540,610044,Lowell,751,2008
4,3770,609968,McAuliffe,787,2008
4,4840,610073,Mitchell,242,2008
4,4870,610076,Moos,629,2008
4,5000,610088,Mozart,767,2008
4,5100,610097,Nixon,"1,051",2008
4,5110,610098,Nobel,805,2008
4,4600,610051,Northwest Mid,"1,008",2008
4,5210,610106,Piccolo,760,2008
4,5800,610165,Schubert,"1,369",2008
4,6080,610192,Stowe,"1,037",2008
4,6280,610210,Von Humboldt,526,2008
4,6282,,Von Humboldt CPC,98,2008
4,5140,610100,West Park ,708,2008
4,6510,610234,Yates,791,2008
6,2030,609773,Agassiz,352,2008
6,2040,609774,Alcott,465,2008
6,2060,609776,Andersen,559,2008
6,2140,609787,Avondale,671,2008
6,2370,609809,Brentano,549,2008
6,2470,609820,Burley,489,2008
6,2530,609828,Burr,312,2008
6,2640,609838,Carpenter,328,2008
6,7420,610313,De Diego ,"1,049",2008
6,3120,609896,Drummond,261,2008
6,4581,,Ferguson CPC,127,2008
6,3420,609926,Franklin Magnet,352,2008
6,3830,609974,Hawthorne,553,2008
6,4200,610012,Jenner,423,2008
6,4420,610033,LaSalle,572,2008
6,4480,610038,Lincoln,640,2008
6,4490,610039,Linne,691,2008
6,7560,610325,Logandale Mid,323,2008
6,4380,610029,Lozano Bilingual,417,2008
6,4580,610048,Manierre,437,2008
6,4680,610059,Mayer,495,2008
6,4970,610085,Nr North SPED Ctr,105,2008
6,5080,610095,Newberry Magnet,532,2008
6,5150,610101,Ogden,601,2008
6,5220,610107,Otis,440,2008
6,5330,610119,Peabody,258,2008
6,5500,610136,Prescott,227,2008
6,6460,610229,Pritzker,559,2008
6,5520,610138,Pulaski ,812,2008
6,7790,610342,Sabin Magnet,559,2008
6,6720,610250,Salazar Bilingual,381,2008
6,5760,610162,Schiller,222,2008
6,5761,,Schiller CPC,9,2008
6,5790,610164,Schneider,173,2008
6,6140,610197,Talcott,552,2008
7,2250,609797,Beidler,481,2008
7,2400,609812,"Brown, W.",240,2008
7,6610,610243,Calhoun North,456,2008
7,6730,610251,Cather,234,2008
7,3000,609881,Delano,409,2008
7,3001,,Delano CPC,112,2008
7,6740,610252,Dett,314,2008
7,3050,609888,Dodge,459,2008
7,4640,610055,Faraday,253,2008
7,3310,609915,Foundations,66,2008
7,7840,610348,Goldblatt,342,2008
7,3910,609985,Hefferan,451,2008
7,3950,609989,Herbert,442,2008
7,6590,610241,Marconi,323,2008
7,6800,610257,Morton,278,2008
7,4050,609999,Nia,64,2008
7,7350,610308,Rudolph Lrng Ctr,106,2008
7,5680,610154,Ryerson,591,2008
7,6340,610405,Suder Montessori,187,2008
7,6110,610194,Sumner,538,2008
7,6210,610202,Tilton,452,2008
7,5470,610133,"Ward, L.",417,2008
8,8020,610365,Bethune,346,2008
8,2740,609851,Chalmers,262,2008
8,7191,,Cole CPC,14,2008
8,2940,609873,Crown,415,2008
8,6760,610254,Dvorak,697,2008
8,3240,609907,Ericson,605,2008
8,5850,610503,Frazier Intl Magnet,41,2008
8,3660,609954,Gregory,437,2008
8,3750,609966,Hammond,487,2008
8,6570,610240,Henson,425,2008
8,3970,609991,Herzl,607,2008
8,3971,,Herzl CPC,85,2008
8,4110,610005,"Hughes, C.",392,2008
8,5350,610121,Irving,486,2008
8,6920,610271,Jensen,472,2008
8,6940,610274,Johnson,268,2008
8,6941,,Johnson CPC,54,2008
8,3410,609925,Kellman,302,2008
8,4310,610023,King EL,336,2008
8,6750,610253,Lathrop,313,2008
8,4430,610034,Lawndale,533,2008
8,4650,610056,Mason,592,2008
8,7190,610293,Melody,443,2008
