Network,School ID,School, Totals ,year
Network 1,609988,Patrick Henry Elementary School, 646 ,2016
Network 1,610145,Peter A Reinberg Elementary School, 848 ,2016
Network 1,610135,Portage Park Elementary School," 1,002 ",2016
Network 1,609995,Rufus M Hitch Elementary School, 592 ,2016
Network 1,610155,Sauganash Elementary School, 589 ,2016
Network 1,609728,Theodore Roosevelt High School," 1,182 ",2016
Network 1,609794,Thomas A Edison Regional Gifted Center ES, 278 ,2016
Network 1,610321,Thurgood Marshall Middle School, 56 ,2016
Network 1,610179,Washington D Smyser Elementary School," 1,007 ",2016
Network 1,610230,Wildwood IB World Magnet School, 475 ,2016
Network 1,609884,William E Dever Elementary School, 823 ,2016
Network 1,609994,William G Hibbard Elementary School," 1,099 ",2016
Network 1,609734,William Howard Taft High School," 3,212 ",2016
Network 1,610104,William J Onahan Elementary School, 640 ,2016
Network 1,609949,William P Gray Elementary School," 1,262 ",2016
Network 2,609804,Daniel Boone Elementary School, 828 ,2016
Network 2,609859,DeWitt Clinton Elementary School," 1,131 ",2016
Network 2,609852,Eliza Chappell Elementary School, 566 ,2016
Network 2,609918,Eugene Field Elementary School, 300 ,2016
Network 2,609779,George Armstrong International Studies ES," 1,452 ",2016
Network 2,610196,George B Swift Elementary Specialty School, 713 ,2016
Network 2,610122,Helen Peirce International Studies ES," 1,042 ",2016
Network 2,610070,James B McPherson Elementary School, 802 ,2016
Network 2,609866,John C Coonley Elementary School, 914 ,2016
Network 2,610269,John T McCutcheon Elementary School, 447 ,2016
Network 2,609865,Jordan Elementary Community School, 586 ,2016
Network 2,610242,Joseph Brennemann Elementary School, 474 ,2016
Network 2,610022,Joyce Kilmer Elementary School, 744 ,2016
Network 2,609719,Lake View High School," 1,289 ",2016
Network 2,609817,Lyman A Budlong Elementary School, 839 ,2016
Network 2,610355,Mary E Courtenay Elementary Language Arts Center, 531 ,2016
Network 2,610011,Minnie Mars Jamieson Elementary School, 891 ,2016
Network 2,610284,New Field Elementary School, 587 ,2016
Network 2,609730,Nicholas Senn High School," 1,365 ",2016
Network 2,610147,Philip Rogers Elementary School, 765 ,2016
Network 2,610141,Ravenswood Elementary School, 563 ,2016
Network 2,609695,Roald Amundsen High School," 1,141 ",2016
Network 2,609733,Roger C Sullivan High School, 563 ,2016
Network 2,609880,Stephen Decatur Classical Elementary School, 282 ,2016
Network 2,609933,Stephen F Gale Elementary Community Academy, 381 ,2016
Network 2,609976,Stephen K Hayt Elementary School," 1,006 ",2016
Network 2,609724,Stephen T Mather High School," 1,576 ",2016
Network 2,610191,Stone Elementary Scholastic Academy, 625 ,2016
Network 2,610220,Thomas J Waters Elementary School, 643 ,2016
Network 2,610394,Uplift Community High School, 311 ,2016
Network 2,610542,West Ridge Elementary School, 772 ,2016
Network 2,609945,William C. Goudy Technology Academy, 746 ,2016
Network 3,400018,Austin Business and Entrepreneurship Academy HS, 102 ,2016
Network 3,610501,Austin Polytechnical Academy High School, 122 ,2016
Network 3,609922,Belmont-Cragin Elementary School, 608 ,2016
Network 3,609679,Charles Allen Prosser Career Academy High School," 1,455 ",2016
Network 3,609732,Charles P Steinmetz College Preparatory HS," 1,545 ",2016
Network 3,609904,Edward K Ellington Elementary School, 709 ,2016
Network 3,610235,Ella Flagg Young Elementary School, 958 ,2016
Network 3,610165,Franz Peter Schubert Elementary School, 928 ,2016
Network 3,610245,Frederick A Douglass Academy High School, 234 ,2016
Network 3,610305,George Leland Elementary School, 583 ,2016
Network 3,609795,George Rogers Clark Elementary School, 270 ,2016
Network 3,610068,Hanson Park Elementary School," 1,550 ",2016
Network 3,610158,Harriet E Sayre Elementary Language Academy, 482 ,2016
Network 3,610092,Henry H Nash Elementary School, 341 ,2016
Network 3,609975,John Hay Elementary Community Academy, 466 ,2016
